Plant ID,Garden Latitude,Garden Longitude,DBH
1199*J,42.30252077,-71.12397574,87.5
1251-79*B,42.30228781,-71.12445659,70.8
1251-79*A,42.30223154,-71.12410601,78
1251-79*E,42.3022236,-71.12398789,70
1199*D,42.30215088,-71.12401559,68
12843*A,42.3020682,-71.12386246,73.8
12843*D,42.30204101,-71.12388059,70.9
12843*H,42.30199149,-71.12371027,64.6
12843*E,42.30194578,-71.12374252,56.2
629-83*D,42.30183747,-71.12308955,36.5
14585*D,42.29833046,-71.12294749,88.7
14585*G,42.2983337,-71.12265119,71.2
12907*I,42.30185516,-71.12559225,49.1
12907*G,42.30181554,-71.1256858,57.7
12907*B,42.30172976,-71.12580046,54.2
12907*D,42.30168924,-71.12587438,49.7
12907*N,42.30163563,-71.12561522,58.8
20095*A,42.30107199,-71.12629543,67.4
20098*A,42.29994157,-71.1258635,60.3
6990*A,42.30020379,-71.12586584,43.1
2019*S,42.29994973,-71.12573747,64.5
2019*R,42.2999657,-71.12566127,45.5
17527*D,42.3051232,-71.12189286,68.1
19804*A,42.30440147,-71.12199832,80.5
7141*A,42.30415322,-71.12252621,58.9
925-79*B,42.30391297,-71.12232333,44.5
12651*H,42.3035604,-71.12143904,49.1
12651*D,42.30351523,-71.12133382,60.2
12651*C,42.30355576,-71.1212595,35.3
187-2006*B,42.30431226,-71.12006593,21.9
20645*A,42.30370116,-71.12007443,85.7
22834*B,42.3040241,-71.12065871,81.9
12565*C,42.30346585,-71.12008242,97.6
1196-84*A,42.30388171,-71.12019927,27.3
15350*A,42.30387457,-71.12074952,77.5
525-2009*A,42.30320004,-71.12119722,55.7
567-2008*B,42.30387168,-71.12031406,8.6
524-2009*A,42.30316247,-71.12125376,64.2
8197*A,42.2999685,-71.12424385,66.2
11253*A,42.30002036,-71.12432118,69.5
5859*A,42.29994632,-71.12375725,80.7
5859*B,42.29996131,-71.12363106,92.6
16882*B,42.29961037,-71.12377523,61.6
22886*D,42.29940788,-71.12438014,87.2
227-2011*A,42.29933201,-71.12435358,66.1
358-82*A,42.29920928,-71.12373613,38.4
21815*E,42.29918666,-71.12348625,73.3
1323-82*A,42.29514117,-71.12601307,83.6
16611*F,42.29432229,-71.12466088,91.4
16611*J,42.2941909,-71.12464076,68.6
16611*K,42.29404926,-71.12460511,78.8
16611*O,42.29389083,-71.1246033,84.6
689-2010*A,42.2917509,-71.12781479,73.5
611-2010*A,42.29281823,-71.12903099,72.7
22099*A,42.29378479,-71.124621,55.7
12651*I,42.2931417,-71.12879258,59.2
17538*A,42.29325928,-71.12871082,80.1
1104-81*A,42.295173,-71.12621128,
386-71*B,42.30571912,-71.12155379,
529-2009*A,42.30327357,-71.1211043,
530-2009*A,42.30325355,-71.12108527,
285-2007*E,42.30474282,-71.12165296,
657-2008*A,42.30216796,-71.12054823,
593-2008*B,42.30185115,-71.1249796,
593-2008*A,42.30184831,-71.12501015,
593-2008*C,42.30182962,-71.12498215,
593-2008*D,42.30183491,-71.1249499,
22947*C,42.29994906,-71.12512975,5.4
493-2009*A,42.29979127,-71.12506756,7.6
22947*B,42.30000187,-71.1252044,8.2
14693*A,42.29867372,-71.12325239,7.4
14693*B,42.29865474,-71.12323151,9.2
14585*B,42.29840632,-71.12299131,87.9
22798*A,42.29846024,-71.12307393,73.9
