"Individual_ID","indiv_obs#"
85751,59
85755,48
85756,38
85757,75
85758,77
85759,149
85761,102
85762,132
85763,97
85764,118
86258,79
86259,121
86260,136
86261,83
86262,47
86263,60
86264,47
86265,60
86266,72
86268,70
86269,64
86270,82
86271,61
86272,77
86273,12
86274,48
86275,35
86276,34
86277,7
86278,53
86279,44
86280,54
86281,66
86282,49
86285,43
86286,31
86287,28
86288,33
86289,86
86290,74
87754,91
87756,45
87757,76
87758,35
87759,24
87760,25
87761,27
87762,74
87763,69
88311,28
92203,44
92204,97
92206,52
92208,40
92209,55
135343,10
135911,19
166763,42
166764,26
166765,34
166766,19
166767,25
166768,36
166769,28
166773,23
166774,20
166775,41
166776,41
166777,36
166778,31
166779,31
166780,35
169165,47
169166,46
169167,46
169168,44
169171,43
